variant,local_context_final_mean,local_context_final_std,local_context_final_count,local_coverage_v2_final_mean,local_coverage_v2_final_std,local_coverage_v2_final_count,local_context_AUC_mean,local_context_AUC_std,local_context_AUC_count,compressed_global_context_final_mean,compressed_global_context_final_std,compressed_global_context_final_count,allocation_entropy_by_kind_mean,allocation_entropy_by_kind_std,allocation_entropy_by_kind_count,allocation_entropy_by_zone_mean,allocation_entropy_by_zone_std,allocation_entropy_by_zone_count,unique_normalized_locs_mean,unique_normalized_locs_std,unique_normalized_locs_count,applied_rate_mean,applied_rate_std,applied_rate_count,failures_derived_d_loc_le_2_rate_mean,failures_derived_d_loc_le_2_rate_std,failures_derived_d_loc_le_2_rate_count,failures_derived_singleton_rate_mean,failures_derived_singleton_rate_std,failures_derived_singleton_rate_count
Hybrid_cTS,48.333333333333336,0.5773502691896263,3,672.3333333333334,21.962088546705502,3,463556.5,3178.8035878298615,3,506.3333333333333,9.291573243177567,3,3.646960332701904,0.0025980729326251333,3,3.7329023019096113,0.004737813645115106,3,48.333333333333336,0.5773502691896263,3,0.9746333333333332,0.0009291573243177661,3,,,0,,,0
V5_control,47.333333333333336,1.5275252316519456,3,772.3333333333334,10.066445913694347,3,448268.3333333333,6118.909019043625,3,371.0,2.6457513110645907,3,3.1799702580575473,0.0016529239401722733,3,3.3903830634572203,0.007222614717406053,3,47.333333333333336,1.5275252316519456,3,0.9923325832129789,0.0010969287509263303,3,,,0,,,0
V6_cTS,36.0,0.0,3,292.3333333333333,9.814954576223641,3,343575.8333333333,6680.560330790628,3,617.6666666666666,2.3094010767585114,3,3.027558790462985,0.002918865232714971,3,3.027558790462985,0.002918865232714971,3,36.0,0.0,3,0.9440333333333334,0.004637168676394507,3,,,0,,,0
V6_uniform,35.0,1.0,3,0.0,0.0,3,322694.1666666667,1322.1329673422993,3,487.0,7.0,3,3.165041885067268,0.0011403933713157444,3,1.9170203445591791,0.015743711450131644,3,35.0,1.0,3,0.9479000000000001,0.00155884572681193,3,0.5348666666666667,0.007966387721755213,3,0.10566666666666667,0.003789898855290646,3
