corpus,variant,seed,signal_name,fire_rate_full,fire_rate_post_local,passes_5pct_gate
V5,V5,1243,mutation_substrategy_uniqueness,0.402667,0.387667,True
V5,V5,1243,d_loc_le_2_flag,0.6155,0.613333,True
D1.A-decayexp,D1.A-decayexp,1234,f_new_flag,0.001667,0.0,False
D1.A-decayexp,D1.A-decayexp,1234,recent_marginal_discovery_rate,0.526333,0.250667,True
D1.A-decayexp,D1.A-decayexp,1234,singleton_failure_flag,0.126333,0.122,True
D1.A-decayexp,D1.A-decayexp,1234,mutation_substrategy_uniqueness,0.301333,0.281667,True
D1.A-decayexp,D1.A-decayexp,1234,d_loc_le_2_flag,0.4645,0.458,True
D1.A-decayexp,D1.A-decayexp,1235,f_new_flag,0.001667,0.0,False
D1.A-decayexp,D1.A-decayexp,1235,recent_marginal_discovery_rate,0.499667,0.149333,True
D1.A-decayexp,D1.A-decayexp,1235,singleton_failure_flag,0.1335,0.131333,True
D1.A-decayexp,D1.A-decayexp,1235,mutation_substrategy_uniqueness,0.313333,0.304333,True
D1.A-decayexp,D1.A-decayexp,1235,d_loc_le_2_flag,0.465333,0.451,True
D1.A-decayexp,D1.A-decayexp,1236,f_new_flag,0.001667,0.0,False
D1.A-decayexp,D1.A-decayexp,1236,recent_marginal_discovery_rate,0.436333,0.117333,True
D1.A-decayexp,D1.A-decayexp,1236,singleton_failure_flag,0.133667,0.130333,True
D1.A-decayexp,D1.A-decayexp,1236,mutation_substrategy_uniqueness,0.323,0.306333,True
D1.A-decayexp,D1.A-decayexp,1236,d_loc_le_2_flag,0.473833,0.471333,True
D1.A-decayexp,D1.A-decayexp,1237,f_new_flag,0.001833,0.0,False
D1.A-decayexp,D1.A-decayexp,1237,recent_marginal_discovery_rate,0.462167,0.158,True
D1.A-decayexp,D1.A-decayexp,1237,singleton_failure_flag,0.129667,0.124,True
D1.A-decayexp,D1.A-decayexp,1237,mutation_substrategy_uniqueness,0.296,0.282667,True
D1.A-decayexp,D1.A-decayexp,1237,d_loc_le_2_flag,0.4685,0.456667,True
D1.A-decayexp,D1.A-decayexp,1238,f_new_flag,0.001667,0.0,False
D1.A-decayexp,D1.A-decayexp,1238,recent_marginal_discovery_rate,0.426,0.158,True
D1.A-decayexp,D1.A-decayexp,1238,singleton_failure_flag,0.123167,0.116,True
D1.A-decayexp,D1.A-decayexp,1238,mutation_substrategy_uniqueness,0.309833,0.291333,True
D1.A-decayexp,D1.A-decayexp,1238,d_loc_le_2_flag,0.466,0.451333,True
D1.A-decayepoch,D1.A-decayepoch,1234,f_new_flag,0.001667,0.0,False
D1.A-decayepoch,D1.A-decayepoch,1234,recent_marginal_discovery_rate,0.597,0.301333,True
D1.A-decayepoch,D1.A-decayepoch,1234,singleton_failure_flag,0.131167,0.119333,True
D1.A-decayepoch,D1.A-decayepoch,1234,mutation_substrategy_uniqueness,0.317667,0.259,True
D1.A-decayepoch,D1.A-decayepoch,1234,d_loc_le_2_flag,0.491833,0.439,True
D1.A-decayepoch,D1.A-decayepoch,1235,f_new_flag,0.001667,0.0,False
D1.A-decayepoch,D1.A-decayepoch,1235,recent_marginal_discovery_rate,0.596833,0.283333,True
D1.A-decayepoch,D1.A-decayepoch,1235,singleton_failure_flag,0.1365,0.124333,True
D1.A-decayepoch,D1.A-decayepoch,1235,mutation_substrategy_uniqueness,0.327667,0.283333,True
D1.A-decayepoch,D1.A-decayepoch,1235,d_loc_le_2_flag,0.500833,0.447667,True
D1.A-decayepoch,D1.A-decayepoch,1236,f_new_flag,0.001667,0.0,False
D1.A-decayepoch,D1.A-decayepoch,1236,recent_marginal_discovery_rate,0.575167,0.279667,True
D1.A-decayepoch,D1.A-decayepoch,1236,singleton_failure_flag,0.133833,0.122667,True
D1.A-decayepoch,D1.A-decayepoch,1236,mutation_substrategy_uniqueness,0.324167,0.276333,True
D1.A-decayepoch,D1.A-decayepoch,1236,d_loc_le_2_flag,0.483667,0.434,True
D1.A-decayepoch,D1.A-decayepoch,1237,f_new_flag,0.001833,0.0,False
D1.A-decayepoch,D1.A-decayepoch,1237,recent_marginal_discovery_rate,0.5555,0.237,True
D1.A-decayepoch,D1.A-decayepoch,1237,singleton_failure_flag,0.135333,0.121667,True
D1.A-decayepoch,D1.A-decayepoch,1237,mutation_substrategy_uniqueness,0.316333,0.267,True
D1.A-decayepoch,D1.A-decayepoch,1237,d_loc_le_2_flag,0.498167,0.447667,True
D1.A-decayepoch,D1.A-decayepoch,1238,f_new_flag,0.001667,0.0,False
D1.A-decayepoch,D1.A-decayepoch,1238,recent_marginal_discovery_rate,0.542667,0.321667,True
D1.A-decayepoch,D1.A-decayepoch,1238,singleton_failure_flag,0.135167,0.120667,True
D1.A-decayepoch,D1.A-decayepoch,1238,mutation_substrategy_uniqueness,0.3175,0.266333,True
D1.A-decayepoch,D1.A-decayepoch,1238,d_loc_le_2_flag,0.485667,0.436333,True
