corpus,variant,seed,signal_name,channel_name,pearson_r,n_pulls
V1,V1,1243,recent_marginal_discovery_rate,f_new_flag,-0.005187,3000
V1,V1,1243,singleton_failure_flag,discovery_binary_reward,-0.051605,3000
V1,V1,1243,singleton_failure_flag,f_new_flag,-0.00914,3000
V1,V1,1243,mutation_substrategy_uniqueness,discovery_binary_reward,-0.045825,3000
V1,V1,1243,mutation_substrategy_uniqueness,f_new_flag,-0.012796,3000
V1,V1,1243,d_loc_le_2_flag,discovery_binary_reward,-0.20047,3000
V1,V1,1243,d_loc_le_2_flag,f_new_flag,-0.033255,3000
V5,V5,1234,f_new_flag,discovery_binary_reward,0.0,3000
V5,V5,1234,recent_marginal_discovery_rate,discovery_binary_reward,0.059647,3000
V5,V5,1234,recent_marginal_discovery_rate,f_new_flag,0.0,3000
V5,V5,1234,singleton_failure_flag,discovery_binary_reward,-0.069745,3000
V5,V5,1234,singleton_failure_flag,f_new_flag,0.0,3000
V5,V5,1234,mutation_substrategy_uniqueness,discovery_binary_reward,-0.062791,3000
V5,V5,1234,mutation_substrategy_uniqueness,f_new_flag,0.0,3000
V5,V5,1234,d_loc_le_2_flag,discovery_binary_reward,-0.166089,3000
V5,V5,1234,d_loc_le_2_flag,f_new_flag,0.0,3000
V5,V5,1235,f_new_flag,discovery_binary_reward,0.0,3000
V5,V5,1235,recent_marginal_discovery_rate,discovery_binary_reward,0.082436,3000
V5,V5,1235,recent_marginal_discovery_rate,f_new_flag,0.0,3000
V5,V5,1235,singleton_failure_flag,discovery_binary_reward,-0.060291,3000
V5,V5,1235,singleton_failure_flag,f_new_flag,0.0,3000
V5,V5,1235,mutation_substrategy_uniqueness,discovery_binary_reward,-0.025622,3000
V5,V5,1235,mutation_substrategy_uniqueness,f_new_flag,0.0,3000
V5,V5,1235,d_loc_le_2_flag,discovery_binary_reward,-0.133614,3000
V5,V5,1235,d_loc_le_2_flag,f_new_flag,0.0,3000
V5,V5,1236,f_new_flag,discovery_binary_reward,0.0,3000
V5,V5,1236,recent_marginal_discovery_rate,discovery_binary_reward,0.090477,3000
V5,V5,1236,recent_marginal_discovery_rate,f_new_flag,0.0,3000
V5,V5,1236,singleton_failure_flag,discovery_binary_reward,-0.07375,3000
V5,V5,1236,singleton_failure_flag,f_new_flag,0.0,3000
V5,V5,1236,mutation_substrategy_uniqueness,discovery_binary_reward,-0.039948,3000
V5,V5,1236,mutation_substrategy_uniqueness,f_new_flag,0.0,3000
V5,V5,1236,d_loc_le_2_flag,discovery_binary_reward,-0.136041,3000
V5,V5,1236,d_loc_le_2_flag,f_new_flag,0.0,3000
V5,V5,1237,f_new_flag,discovery_binary_reward,0.0,3000
V5,V5,1237,recent_marginal_discovery_rate,discovery_binary_reward,0.106717,3000
V5,V5,1237,recent_marginal_discovery_rate,f_new_flag,0.0,3000
V5,V5,1237,singleton_failure_flag,discovery_binary_reward,-0.071276,3000
V5,V5,1237,singleton_failure_flag,f_new_flag,0.0,3000
V5,V5,1237,mutation_substrategy_uniqueness,discovery_binary_reward,-0.017622,3000
V5,V5,1237,mutation_substrategy_uniqueness,f_new_flag,0.0,3000
V5,V5,1237,d_loc_le_2_flag,discovery_binary_reward,-0.160406,3000
V5,V5,1237,d_loc_le_2_flag,f_new_flag,0.0,3000
V5,V5,1238,f_new_flag,discovery_binary_reward,0.0,3000
V5,V5,1238,recent_marginal_discovery_rate,discovery_binary_reward,0.074944,3000
V5,V5,1238,recent_marginal_discovery_rate,f_new_flag,0.0,3000
V5,V5,1238,singleton_failure_flag,discovery_binary_reward,-0.037418,3000
V5,V5,1238,singleton_failure_flag,f_new_flag,0.0,3000
V5,V5,1238,mutation_substrategy_uniqueness,discovery_binary_reward,-0.044097,3000
V5,V5,1238,mutation_substrategy_uniqueness,f_new_flag,0.0,3000
V5,V5,1238,d_loc_le_2_flag,discovery_binary_reward,-0.118907,3000
V5,V5,1238,d_loc_le_2_flag,f_new_flag,0.0,3000
V5,V5,1239,f_new_flag,discovery_binary_reward,0.0,3000
V5,V5,1239,recent_marginal_discovery_rate,discovery_binary_reward,0.079623,3000
V5,V5,1239,recent_marginal_discovery_rate,f_new_flag,0.0,3000
V5,V5,1239,singleton_failure_flag,discovery_binary_reward,-0.073061,3000
V5,V5,1239,singleton_failure_flag,f_new_flag,0.0,3000
V5,V5,1239,mutation_substrategy_uniqueness,discovery_binary_reward,-0.051842,3000
V5,V5,1239,mutation_substrategy_uniqueness,f_new_flag,0.0,3000
V5,V5,1239,d_loc_le_2_flag,discovery_binary_reward,-0.152834,3000
V5,V5,1239,d_loc_le_2_flag,f_new_flag,0.0,3000
V5,V5,1240,f_new_flag,discovery_binary_reward,0.0,3000
V5,V5,1240,recent_marginal_discovery_rate,discovery_binary_reward,0.066907,3000
V5,V5,1240,recent_marginal_discovery_rate,f_new_flag,0.0,3000
V5,V5,1240,singleton_failure_flag,discovery_binary_reward,-0.061701,3000
V5,V5,1240,singleton_failure_flag,f_new_flag,0.0,3000
V5,V5,1240,mutation_substrategy_uniqueness,discovery_binary_reward,-0.011866,3000
V5,V5,1240,mutation_substrategy_uniqueness,f_new_flag,0.0,3000
V5,V5,1240,d_loc_le_2_flag,discovery_binary_reward,-0.149243,3000
V5,V5,1240,d_loc_le_2_flag,f_new_flag,0.0,3000
V5,V5,1241,f_new_flag,discovery_binary_reward,0.0,3000
V5,V5,1241,recent_marginal_discovery_rate,discovery_binary_reward,0.073878,3000
V5,V5,1241,recent_marginal_discovery_rate,f_new_flag,0.0,3000
V5,V5,1241,singleton_failure_flag,discovery_binary_reward,-0.064378,3000
V5,V5,1241,singleton_failure_flag,f_new_flag,0.0,3000
V5,V5,1241,mutation_substrategy_uniqueness,discovery_binary_reward,-0.052908,3000
V5,V5,1241,mutation_substrategy_uniqueness,f_new_flag,0.0,3000
V5,V5,1241,d_loc_le_2_flag,discovery_binary_reward,-0.162115,3000
V5,V5,1241,d_loc_le_2_flag,f_new_flag,0.0,3000
V5,V5,1242,f_new_flag,discovery_binary_reward,0.0,3000
V5,V5,1242,recent_marginal_discovery_rate,discovery_binary_reward,0.084731,3000
V5,V5,1242,recent_marginal_discovery_rate,f_new_flag,0.0,3000
V5,V5,1242,singleton_failure_flag,discovery_binary_reward,-0.048162,3000
V5,V5,1242,singleton_failure_flag,f_new_flag,0.0,3000
V5,V5,1242,mutation_substrategy_uniqueness,discovery_binary_reward,-0.026908,3000
V5,V5,1242,mutation_substrategy_uniqueness,f_new_flag,0.0,3000
V5,V5,1242,d_loc_le_2_flag,discovery_binary_reward,-0.135304,3000
V5,V5,1242,d_loc_le_2_flag,f_new_flag,0.0,3000
V5,V5,1243,f_new_flag,discovery_binary_reward,0.0,3000
V5,V5,1243,recent_marginal_discovery_rate,discovery_binary_reward,0.071594,3000
V5,V5,1243,recent_marginal_discovery_rate,f_new_flag,0.0,3000
V5,V5,1243,singleton_failure_flag,discovery_binary_reward,-0.066153,3000
V5,V5,1243,singleton_failure_flag,f_new_flag,0.0,3000
V5,V5,1243,mutation_substrategy_uniqueness,discovery_binary_reward,-0.068692,3000
V5,V5,1243,mutation_substrategy_uniqueness,f_new_flag,0.0,3000
V5,V5,1243,d_loc_le_2_flag,discovery_binary_reward,-0.184716,3000
V5,V5,1243,d_loc_le_2_flag,f_new_flag,0.0,3000
D1A,V5_decayexp,1234,f_new_flag,discovery_binary_reward,0.0,3000
D1A,V5_decayexp,1234,recent_marginal_discovery_rate,discovery_binary_reward,0.072566,3000
D1A,V5_decayexp,1234,recent_marginal_discovery_rate,f_new_flag,0.0,3000
D1A,V5_decayexp,1234,singleton_failure_flag,discovery_binary_reward,-0.061196,3000
D1A,V5_decayexp,1234,singleton_failure_flag,f_new_flag,0.0,3000
D1A,V5_decayexp,1234,mutation_substrategy_uniqueness,discovery_binary_reward,-0.019042,3000
D1A,V5_decayexp,1234,mutation_substrategy_uniqueness,f_new_flag,0.0,3000
D1A,V5_decayexp,1234,d_loc_le_2_flag,discovery_binary_reward,-0.111566,3000
D1A,V5_decayexp,1234,d_loc_le_2_flag,f_new_flag,0.0,3000
