corpus,variant,seed,signal_name,n_mutations,fire_count,fire_rate_full,fire_rate_post_local,median_value
V5,V5,1240,d_loc_le_2_flag,6000,3630,0.605,0.601333,
V5,V5,1241,f_new_flag,6000,10,0.001667,0.0,
V5,V5,1241,recent_marginal_discovery_rate,6000,2819,0.469833,0.118333,0.04
V5,V5,1241,singleton_failure_flag,6000,1019,0.169833,0.171667,
V5,V5,1241,mutation_substrategy_uniqueness,6000,2467,0.411167,0.393667,
V5,V5,1241,d_loc_le_2_flag,6000,3622,0.603667,0.604,
V5,V5,1242,f_new_flag,6000,10,0.001667,0.0,
V5,V5,1242,recent_marginal_discovery_rate,6000,2909,0.484833,0.227333,0.04
V5,V5,1242,singleton_failure_flag,6000,1005,0.1675,0.163,
V5,V5,1242,mutation_substrategy_uniqueness,6000,2474,0.412333,0.394667,
V5,V5,1242,d_loc_le_2_flag,6000,3698,0.616333,0.61,
V5,V5,1243,f_new_flag,6000,11,0.001833,0.0,
V5,V5,1243,recent_marginal_discovery_rate,6000,2820,0.47,0.131333,0.04
V5,V5,1243,singleton_failure_flag,6000,1047,0.1745,0.170333,
V5,V5,1243,mutation_substrategy_uniqueness,6000,2416,0.402667,0.387667,
V5,V5,1243,d_loc_le_2_flag,6000,3693,0.6155,0.613333,
D1.A-decayexp,D1.A-decayexp,1234,f_new_flag,6000,10,0.001667,0.0,
D1.A-decayexp,D1.A-decayexp,1234,recent_marginal_discovery_rate,6000,3158,0.526333,0.250667,0.05
D1.A-decayexp,D1.A-decayexp,1234,singleton_failure_flag,6000,758,0.126333,0.122,
D1.A-decayexp,D1.A-decayexp,1234,mutation_substrategy_uniqueness,6000,1808,0.301333,0.281667,
D1.A-decayexp,D1.A-decayexp,1234,d_loc_le_2_flag,6000,2787,0.4645,0.458,
D1.A-decayexp,D1.A-decayexp,1235,f_new_flag,6000,10,0.001667,0.0,
D1.A-decayexp,D1.A-decayexp,1235,recent_marginal_discovery_rate,6000,2998,0.499667,0.149333,0.04
D1.A-decayexp,D1.A-decayexp,1235,singleton_failure_flag,6000,801,0.1335,0.131333,
D1.A-decayexp,D1.A-decayexp,1235,mutation_substrategy_uniqueness,6000,1880,0.313333,0.304333,
D1.A-decayexp,D1.A-decayexp,1235,d_loc_le_2_flag,6000,2792,0.465333,0.451,
D1.A-decayexp,D1.A-decayexp,1236,f_new_flag,6000,10,0.001667,0.0,
D1.A-decayexp,D1.A-decayexp,1236,recent_marginal_discovery_rate,6000,2618,0.436333,0.117333,0.04
D1.A-decayexp,D1.A-decayexp,1236,singleton_failure_flag,6000,802,0.133667,0.130333,
D1.A-decayexp,D1.A-decayexp,1236,mutation_substrategy_uniqueness,6000,1938,0.323,0.306333,
D1.A-decayexp,D1.A-decayexp,1236,d_loc_le_2_flag,6000,2843,0.473833,0.471333,
D1.A-decayexp,D1.A-decayexp,1237,f_new_flag,6000,11,0.001833,0.0,
D1.A-decayexp,D1.A-decayexp,1237,recent_marginal_discovery_rate,6000,2773,0.462167,0.158,0.04
D1.A-decayexp,D1.A-decayexp,1237,singleton_failure_flag,6000,778,0.129667,0.124,
D1.A-decayexp,D1.A-decayexp,1237,mutation_substrategy_uniqueness,6000,1776,0.296,0.282667,
D1.A-decayexp,D1.A-decayexp,1237,d_loc_le_2_flag,6000,2811,0.4685,0.456667,
D1.A-decayexp,D1.A-decayexp,1238,f_new_flag,6000,10,0.001667,0.0,
D1.A-decayexp,D1.A-decayexp,1238,recent_marginal_discovery_rate,6000,2556,0.426,0.158,0.04
D1.A-decayexp,D1.A-decayexp,1238,singleton_failure_flag,6000,739,0.123167,0.116,
D1.A-decayexp,D1.A-decayexp,1238,mutation_substrategy_uniqueness,6000,1859,0.309833,0.291333,
D1.A-decayexp,D1.A-decayexp,1238,d_loc_le_2_flag,6000,2796,0.466,0.451333,
D1.A-decayepoch,D1.A-decayepoch,1234,f_new_flag,6000,10,0.001667,0.0,
D1.A-decayepoch,D1.A-decayepoch,1234,recent_marginal_discovery_rate,6000,3582,0.597,0.301333,0.05
D1.A-decayepoch,D1.A-decayepoch,1234,singleton_failure_flag,6000,787,0.131167,0.119333,
D1.A-decayepoch,D1.A-decayepoch,1234,mutation_substrategy_uniqueness,6000,1906,0.317667,0.259,
D1.A-decayepoch,D1.A-decayepoch,1234,d_loc_le_2_flag,6000,2951,0.491833,0.439,
D1.A-decayepoch,D1.A-decayepoch,1235,f_new_flag,6000,10,0.001667,0.0,
D1.A-decayepoch,D1.A-decayepoch,1235,recent_marginal_discovery_rate,6000,3581,0.596833,0.283333,0.05
D1.A-decayepoch,D1.A-decayepoch,1235,singleton_failure_flag,6000,819,0.1365,0.124333,
D1.A-decayepoch,D1.A-decayepoch,1235,mutation_substrategy_uniqueness,6000,1966,0.327667,0.283333,
D1.A-decayepoch,D1.A-decayepoch,1235,d_loc_le_2_flag,6000,3005,0.500833,0.447667,
D1.A-decayepoch,D1.A-decayepoch,1236,f_new_flag,6000,10,0.001667,0.0,
