variant,seed,N,n_planted_finds,planted_find_indices,n_benign_accepts,benign_accept_indices,benign_accept_kinds
V0_uniform,1241,5000,59,23 245 267 494 503 597 659 670 695 703 871 943 1009 1104 1129 1203 1606 1607 1669 1741 1887 1937 1955 1984 2033 2143 2222 2266 2353 2449 2501 2839 2872 3023 3076 3124 3206 3303 3304 3421 3471 3536 3609 3815 3840 3896 3930 3957 3964 3979 3984 4352 4375 4509 4645 4651 4796 4804 4879,0,,
V0_uniform,1242,5000,46,149 172 203 214 282 298 312 356 418 437 461 497 881 1204 1230 1530 1639 2006 2085 2199 2232 2388 2407 2627 2727 2774 3019 3030 3103 3166 3258 3311 3592 3638 3810 3910 3945 4099 4546 4566 4608 4611 4691 4729 4790 4922,0,,
V0_uniform,1243,5000,63,21 111 372 585 746 862 869 958 962 1029 1050 1081 1174 1236 1315 1392 1401 1736 1765 1782 1945 2006 2058 2090 2099 2120 2219 2292 2293 2385 2438 2553 2730 2731 2888 2896 2951 2955 3031 3086 3224 3396 3531 3552 3731 3740 3837 3994 4025 4129 4141 4169 4238 4289 4333 4354 4408 4461 4578 4665 4707 4750 4982,0,,
V5_control,1234,5000,77,19 490 493 519 616 717 719 721 800 819 1016 1080 1182 1317 1381 1398 1417 1419 1521 1600 1688 1700 1720 1791 1815 1980 2091 2281 2315 2317 2320 2386 2416 2488 2497 2518 2585 2586 2795 2921 2997 3080 3088 3089 3119 3179 3417 3491 3498 3518 3589 3599 3618 3716 3818 3889 3895 3920 3980 3996 4196 4281 4288 4317 4319 4486 4520 4581 4593 4695 4716 4779 4791 4819 4981 4985 4988,0,,
V5_control,1235,5000,85,190 259 315 319 391 418 492 517 718 719 720 786 885 918 978 1083 1178 1281 1383 1387 1420 1481 1494 1518 1687 1786 1885 1889 1985 1988 2020 2091 2116 2118 2119 2183 2290 2299 2315 2317 2416 2417 2489 2498 2517 2690 2819 3016 3019 3083 3094 3219 3314 3379 3380 3386 3414 3482 3514 3518 3618 3678 3781 3819 3888 3893 3896 4016 4017 4083 4089 4191 4280 4380 4420 4489 4490 4517 4519 4618 4678 4686 4789 4916 4989,1,2413,CYCLE_DIFF_COUNT_MOD
V5_control,1236,5000,74,18 162 257 260 319 493 519 617 681 685 690 720 786 796 917 921 1116 1282 1288 1399 1499 1515 1598 1680 1719 1796 1819 2019 2090 2096 2098 2190 2216 2316 2396 2583 2617 2782 2821 2999 3021 3089 3092 3121 3191 3284 3286 3291 3294 3317 3319 3415 3479 3520 3818 3821 3883 4016 4088 4194 4195 4219 4279 4283 4398 4416 4418 4582 4590 4592 4682 4685 4717 4795,1,1893,CYCLE_DIFF_COUNT_MOD
V5_control,1237,5000,72,94 291 381 385 396 521 587 717 719 787 820 888 1017 1019 1117 1283 1419 1516 1715 1881 2090 2198 2199 2288 2387 2393 2397 2400 2485 2517 2521 2617 2618 2793 2819 2897 2916 3019 3182 3183 3186 3193 3216 3217 3315 3417 3420 3488 3580 3597 3689 3695 3793 3890 3917 3919 4094 4116 4121 4186 4187 4198 4318 4519 4620 4717 4789 4880 4918 4984 4986 4999,0,,
V5_control,1238,5000,79,95 161 385 386 398 419 493 499 521 617 619 683 916 979 999 1181 1219 1279 1283 1299 1317 1419 1421 1498 1517 1521 1618 1619 1720 1792 1794 1888 1891 1980 1991 2016 2017 2019 2182 2191 2220 2317 2319 2485 2584 2600 2779 2819 2884 2891 3090 3095 3096 3116 3121 3284 3320 3479 3517 3521 3589 3784 3898 3917 3987 4086 4190 4191 4218 4220 4221 4419 4420 4521 4684 4687 4792 4919 4999,0,,
V5_control,1239,5000,83,99 161 214 295 485 589 616 617 721 918 1084 1088 1095 1121 1188 1217 1219 1294 1316 1417 1480 1492 1579 1583 1585 1589 1600 1615 1616 1696 1793 1817 1821 1984 1993 2017 2121 2384 2398 2481 2786 2817 2819 2887 2983 2985 2997 3079 3088 3117 3196 3281 3292 3315 3319 3381 3390 3517 3518 3617 3690 3697 3799 3886 3892 4019 4098 4117 4119 4279 4284 4319 4387 4416 4417 4482 4483 4698 4720 4817 4881 4984 4986,0,,
V5_control,1240,5000,68,96 318 398 420 480 519 521 684 719 816 895 995 1085 1115 1184 1190 1485 1616 1619 1880 1889 1895 1918 2021 2086 2093 2095 2380 2417 2420 2486 2490 2491 2787 2799 2816 2891 2917 2978 2979 3015 3119 3193 3215 3316 3382 3479 3587 3698 3794 3816 3919 3920 3993 4294 4319 4396 4397 4515 4589 4615 4616 4687 4717 4781 4885 4898 4916,0,,
