seed,mode,pulls,db_path
1240,floor,5615,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ts_b7_cTS_semantic_v2_seed1240_n6000/pos_iv_pos_7_ts_b7_cTS_semantic_v2_seed1240_n6000.db
1240,singleton,8,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ts_b7_cTS_semantic_v2_seed1240_n6000/pos_iv_pos_7_ts_b7_cTS_semantic_v2_seed1240_n6000.db
1241,adaptive,233,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b4_cTS_semantic_v2_seed1241_n6000/pos_iv_pos_7_ta_b4_cTS_semantic_v2_seed1241_n6000.db
1241,cold,144,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b4_cTS_semantic_v2_seed1241_n6000/pos_iv_pos_7_ta_b4_cTS_semantic_v2_seed1241_n6000.db
1241,floor,5615,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b4_cTS_semantic_v2_seed1241_n6000/pos_iv_pos_7_ta_b4_cTS_semantic_v2_seed1241_n6000.db
1241,singleton,8,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b4_cTS_semantic_v2_seed1241_n6000/pos_iv_pos_7_ta_b4_cTS_semantic_v2_seed1241_n6000.db
1242,adaptive,233,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b5_cTS_semantic_v2_seed1242_n6000/pos_iv_pos_7_ta_b5_cTS_semantic_v2_seed1242_n6000.db
1242,cold,144,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b5_cTS_semantic_v2_seed1242_n6000/pos_iv_pos_7_ta_b5_cTS_semantic_v2_seed1242_n6000.db
1242,floor,5615,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b5_cTS_semantic_v2_seed1242_n6000/pos_iv_pos_7_ta_b5_cTS_semantic_v2_seed1242_n6000.db
1242,singleton,8,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b5_cTS_semantic_v2_seed1242_n6000/pos_iv_pos_7_ta_b5_cTS_semantic_v2_seed1242_n6000.db
1243,adaptive,233,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b6_cTS_semantic_v2_seed1243_n6000/pos_iv_pos_7_ta_b6_cTS_semantic_v2_seed1243_n6000.db
1243,cold,144,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b6_cTS_semantic_v2_seed1243_n6000/pos_iv_pos_7_ta_b6_cTS_semantic_v2_seed1243_n6000.db
1243,floor,5615,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b6_cTS_semantic_v2_seed1243_n6000/pos_iv_pos_7_ta_b6_cTS_semantic_v2_seed1243_n6000.db
1243,singleton,8,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b6_cTS_semantic_v2_seed1243_n6000/pos_iv_pos_7_ta_b6_cTS_semantic_v2_seed1243_n6000.db
