kind,v1_pulls,v1_discoveries,v1_rate_per_1k,v5_pulls,v5_discoveries,v5_rate_per_1k,delta_pulls,delta_rate_per_1k
COMP_OUT_MOD,7448,4,0.5370569280343717,4810,20,4.158004158004158,-2638,3.6209472299697865
LOAD_VAL_MOD,7432,6,0.8073196986006459,2400,0,0.0,-5032,-0.8073196986006459
STORE_OUT_MOD,7548,2,0.2649708532061473,2400,0,0.0,-5148,-0.2649708532061473
PRE_EXEC_REG_MOD,7548,28,3.7095919448860624,9627,16,1.661992313285551,2079,-2.0475996316005114
INSTR_TYPE_MOD,7569,230,30.38710529792575,13122,261,19.89026063100137,5553,-10.496844666924378
MEM_VAL_MOD,7538,95,12.60281241708676,10840,134,12.361623616236162,3302,-0.24118880085059757
INSTR_WORD_MOD_FULL,7552,44,5.826271186440678,8401,20,2.3806689679800024,849,-3.445602218460676
INSTR_WORD_MOD_SUR,7365,20,2.7155465037338766,8400,13,1.5476190476190477,1035,-1.167927456114829
