variant,kind,current_reward,no_qloc_reward,discovery_binary_reward,compressed_global_reward,n
V1,COMP_OUT_MOD,-0.004636131695469453,0.19558872633366972,0.015213001157658237,0.00012459745764488032,744.8
V1,INSTR_TYPE_MOD,0.14946135941607858,0.1723408417621411,0.23875664709082955,0.0043876357895986946,756.9
V1,INSTR_WORD_MOD_FULL,0.0070755321733527495,0.2014963901564756,0.04778329969960797,0.0018338521049802586,755.2
V1,INSTR_WORD_MOD_SUR,0.005223047465861934,0.22365155996086972,0.03913557014159623,0.0015390485345371302,736.5
V1,LOAD_VAL_MOD,-0.01270354360813109,0.18841670875600192,0.003765902580081127,9.53991411917079e-05,743.2
V1,MEM_VAL_MOD,0.012620413482009799,0.19754536390259408,0.05903422490767986,0.0019276250090388026,753.8
V1,PRE_EXEC_REG_MOD,-0.02305007240801984,0.19199342417807636,0.06877350223468318,0.0026025081792147337,754.8
V1,STORE_OUT_MOD,-0.012947200916533497,0.1870882531580473,0.0037223989842626918,0.000188136022743106,754.8
V2,COMP_OUT_MOD,0.04850978312018715,0.2165361038183525,0.09175706410016611,0.0006840185208685263,104.2
V2,INSTR_TYPE_MOD,0.5752951959471713,0.2762189061512628,0.7003684102782464,0.019201856860696153,58.4
V2,INSTR_WORD_MOD_FULL,0.025491249297300476,0.20150735612754794,0.08326368569996213,0.0027502205579715837,376.3
V2,INSTR_WORD_MOD_SUR,-0.0001422775870893761,0.21733130327911954,0.014259885679261942,0.00039385939680769655,5114.4
V2,LOAD_VAL_MOD,0.0050188868594887494,0.2068538316575367,0.027881363413275573,0.000954279779646891,96.3
V2,MEM_VAL_MOD,0.14980020861484225,0.22996346709364923,0.2610783839890724,0.007187536704591947,96.9
V2,PRE_EXEC_REG_MOD,0.15309155314888023,0.22599827460052474,0.3232636305888829,0.009345981066291455,60.8
V2,STORE_OUT_MOD,0.003173941681170616,0.2046762656804224,0.030148475745725246,0.0015307754897488533,92.7
V3,COMP_OUT_MOD,-0.005342637644760708,0.19492360396996747,0.02148555367027029,0.00018671903652488602,253.3
V3,INSTR_TYPE_MOD,0.029235863497524238,0.12925148119180016,0.08594514667131292,0.0011840210586297696,3675.0
V3,INSTR_WORD_MOD_FULL,0.002525226207865412,0.20135809711795613,0.0627474350212491,0.0026362874807991303,374.6
V3,INSTR_WORD_MOD_SUR,0.002876723567192234,0.22141764841791206,0.053485890238770636,0.0018555740795941108,377.8
V3,LOAD_VAL_MOD,-0.008700883157439918,0.19255849863304086,0.0104711019180482,0.00032181537805818066,218.0
V3,MEM_VAL_MOD,0.008570250739801421,0.19767054582210491,0.0661361994230946,0.0025848881518353286,516.2
V3,PRE_EXEC_REG_MOD,0.002484203325929092,0.19894518568780686,0.11420114474424622,0.004074926932115068,375.5
V3,STORE_OUT_MOD,-0.009586934481579431,0.1902507851305626,0.00954489029310016,0.0006764193855255157,209.6
V4,COMP_OUT_MOD,0.002093261334358989,0.19893877455154188,0.036170882451574085,0.0005818597366892187,133.8
V4,INSTR_TYPE_MOD,0.027736332197334734,0.1280230162175996,0.08323382270994628,0.0011706384636846862,3809.0
V4,INSTR_WORD_MOD_FULL,0.005662753381810288,0.20384962799571943,0.06090393341284328,0.0024636729005973264,377.7
V4,INSTR_WORD_MOD_SUR,0.010700657926911657,0.22402235409558133,0.059270285206483864,0.001951200722472057,337.4
V4,LOAD_VAL_MOD,0.002275698338407113,0.19950255682778098,0.02185434902697269,0.0008620127626265175,87.8
V4,MEM_VAL_MOD,0.01325919929946075,0.19774419203239052,0.06701058709258248,0.0024953504707994957,490.5
V4,PRE_EXEC_REG_MOD,-0.020621762118159546,0.19296233293072407,0.07025551951913328,0.0027075690389307726,667.9
V4,STORE_OUT_MOD,-0.0007845460628306789,0.19608724868626606,0.02381144621993834,0.001486742137422233,95.9
V5,COMP_OUT_MOD,-0.0018297124959383358,0.19690205011984957,0.01496881496881497,0.00029466599732454337,481.0
V5,INSTR_TYPE_MOD,0.11045631555874857,0.13846463640223683,0.1812974510585203,0.0032621339785912293,1312.2
V5,INSTR_WORD_MOD_FULL,0.00239785078746601,0.19903437873656105,0.04047151916652511,0.001978532057645014,840.1
V5,INSTR_WORD_MOD_SUR,0.0021099527012952597,0.22239428318225268,0.031071428571428573,0.0013876362486302083,840.0
V5,LOAD_VAL_MOD,-0.008563606386970266,0.18834327088223474,0.010833333333333334,0.000590559769637939,240.0
V5,MEM_VAL_MOD,0.003730350260513838,0.1967445282049302,0.05903506171281712,0.00223845553010848,1084.0
V5,PRE_EXEC_REG_MOD,-0.029544396004272118,0.1914517890327978,0.053286030646231206,0.002440459812116963,962.7
V5,STORE_OUT_MOD,-0.01187482772348157,0.18971140722288926,0.008749999999999999,0.000590559769637939,240.0
