variant,local_context_final_mean,local_context_final_std,local_context_final_count,local_coverage_v2_final_mean,local_coverage_v2_final_std,local_coverage_v2_final_count,local_context_AUC_mean,local_context_AUC_std,local_context_AUC_count,time_to_40_mean,time_to_40_std,time_to_40_count,time_to_43_mean,time_to_43_std,time_to_43_count,time_to_46_mean,time_to_46_std,time_to_46_count,compressed_global_context_final_mean,compressed_global_context_final_std,compressed_global_context_final_count,crash_rate_mean,crash_rate_std,crash_rate_count,no_effect_rate_mean,no_effect_rate_std,no_effect_rate_count,allocation_entropy_by_kind_mean,allocation_entropy_by_kind_std,allocation_entropy_by_kind_count,allocation_entropy_by_zone_mean,allocation_entropy_by_zone_std,allocation_entropy_by_zone_count,novel_locs_vs_v1_mean,novel_locs_vs_v1_std,novel_locs_vs_v1_count,all_46_hit_rate,novel_locs_union_vs_v1
V1,42.9,1.197218999737866,10,565.6,18.42823919966309,10,228142.3,8157.365568068597,10,3207.1,1277.4542783729419,10,4365.833333333333,1148.087699902175,6,,,0,144.2,6.679986693266852,10,0.011,0.0008240220541217405,10,0.0,0.0,10,2.9990857531014288,0.0005260265989058909,10,2.2018062346644753,0.012639957600574157,10,0.0,0.0,10,0.0,0
V2,31.8,1.6193277068654832,10,283.7,9.345824973989426,10,177804.0,10398.356900117547,10,,,0,,,0,,,0,87.7,3.164033993355811,10,0.0007333333333333333,0.00040975753143523947,10,0.0,0.0,10,0.9620391451400698,0.0566561522387154,10,2.086905268324074,0.02209564203705376,10,0.0,0.0,10,0.0,0
V3,42.1,1.7288403306519922,10,737.8,11.093541664710413,10,233650.35,5998.253797055351,10,2940.8,1492.6376951185737,10,3986.6666666666665,1906.0877034736186,3,,,0,138.3,5.907622195096777,10,0.016783333333333334,0.0011521584681815562,10,0.0,0.0,10,2.0167528287698886,0.05372449326615462,10,2.1964526106214555,0.02598546521045841,10,0.4,0.6992058987801011,10,0.0,3
V4,41.9,2.131770260709265,10,748.2,5.633234713140691,10,235617.7,8170.500553141702,10,2380.125,1540.3973919089838,8,3597.2,826.6454499965508,5,,,0,142.5,6.670832032063167,10,0.0196,0.0019407902170679508,10,0.0,0.0,10,1.8524949571893892,0.03672410427851972,10,2.175505853565716,0.024090012041762674,10,0.0,0.0,10,0.0,0
V5,46.4,0.6992058987801009,10,684.5,23.59967043084382,10,264554.7,5861.834824618573,10,628.6,303.82750954374677,10,1017.1,411.2715918006278,10,2560.5,1514.1136204246877,10,188.1,5.237683966538393,10,0.012966666666666668,0.0008119478180642272,10,0.0,0.0,10,2.8067786982603344,0.00022177148282584392,10,3.2712353927071667,0.0012135699568567716,10,0.4,0.6992058987801011,10,1.0,4
