run_id,fuzzer,variant,kind,role,seed,inject_step,a4_step,mutated_value,mutated_word_hex,field_class,outcome_class,intrastep_local,interstep_local,global,layers_triple,failure_count,constraints_json
arguzz_INSTR_WORD_MOD_s13,arguzz,,INSTR_WORD_MOD,add,13,195,193,,0x00c785b3,src_reg,GLOBAL_REJECT,0,0,1,0/0/1,0,"[{""layer"": ""global"", ""full_loc"": ""GLOBAL:family:memory residue nonzero"", ""residue"": null, ""cycle"": null, ""step"": null, ""major"": null, ""minor"": null, ""provenance"": null, ""family"": ""memory"", ""address"": null}]"
arguzz_INSTR_WORD_MOD_s14,arguzz,,INSTR_WORD_MOD,add,14,195,193,,0x00d585b3,src_reg,GLOBAL_REJECT,0,0,1,0/0/1,0,"[{""layer"": ""global"", ""full_loc"": ""GLOBAL:family:memory residue nonzero"", ""residue"": null, ""cycle"": null, ""step"": null, ""major"": null, ""minor"": null, ""provenance"": null, ""family"": ""memory"", ""address"": null}]"
arguzz_INSTR_WORD_MOD_s15,arguzz,,INSTR_WORD_MOD,add,15,195,193,,0x9a780f93,format_change,CONSTRAINT_REJECT,2,0,1,2/0/1,2,"[{""layer"": ""intrastep-local"", ""full_loc"": ""loc(callsite( VerifyOpcodeF3 ( zirgen/circuit/rv32im/v2/dsl/inst.zir :96:19) at callsite( OpADDI ( zirgen/circuit/rv32im/v2/dsl/inst_misc.zir :127:18) at  Misc0 ( zirgen/circuit/rv32im/v2/dsl/inst_misc.zir :40:29))))"", ""residue"": 32, ""cycle"": 14466, ""step"": 193, ""major"": 0, ""minor"": 7, ""provenance"": {""layer"": ""intrastep-local"", ""loc"": ""loc(callsite( VerifyOpcodeF3 ( zirgen/circuit/rv32im/v2/dsl/inst.zir :96:19) at callsite( OpADDI ( zirgen/circuit/rv32im"", ""value"": 32, ""verified"": false, ""reason"": ""non-scalar mutation""}}, {""layer"": ""intrastep-local"", ""full_loc"": ""MemoryWrite(zirgen/circuit/rv32im/v2/dsl/mem.zir:99)"", ""residue"": 2013264284, ""cycle"": 14466, ""step"": 193, ""major"": 0, ""minor"": 7, ""provenance"": {""layer"": ""intrastep-local"", ""loc"": ""MemoryWrite(zirgen/circuit/rv32im/v2/dsl/mem.zir:99)"", ""value"": 2013264284, ""verified"": false, ""reason"": ""non-scalar mutation""}}, {""layer"": ""global"", ""full_loc"": ""GLOBAL:family:memory residue nonzero"", ""residue"": null, ""cycle"": null, ""step"": null, ""major"": null, ""minor"": null, ""provenance"": null, ""family"": ""memory"", ""address"": null}]"
arguzz_INSTR_WORD_MOD_s16,arguzz,,INSTR_WORD_MOD,add,16,195,193,,0x20c5c493,format_change,CONSTRAINT_REJECT,3,0,1,3/0/1,3,"[{""layer"": ""intrastep-local"", ""full_loc"": ""loc(callsite( VerifyOpcodeF3 ( zirgen/circuit/rv32im/v2/dsl/inst.zir :96:19) at  OpXORI ( zirgen/circuit/rv32im/v2/dsl/inst_misc.zir :132:18)))"", ""residue"": 32, ""cycle"": 14466, ""step"": 193, ""major"": 1, ""minor"": 0, ""provenance"": {""layer"": ""intrastep-local"", ""loc"": ""loc(callsite( VerifyOpcodeF3 ( zirgen/circuit/rv32im/v2/dsl/inst.zir :96:19) at  OpXORI ( zirgen/circuit/rv32im/v2/dsl/i"", ""value"": 32, ""verified"": false, ""reason"": ""non-scalar mutation""}}, {""layer"": ""intrastep-local"", ""full_loc"": ""loc(callsite( VerifyOpcodeF3 ( zirgen/circuit/rv32im/v2/dsl/inst.zir :97:18) at  OpXORI ( zirgen/circuit/rv32im/v2/dsl/inst_misc.zir :132:18)))"", ""residue"": 2013265917, ""cycle"": 14466, ""step"": 193, ""major"": 1, ""minor"": 0, ""provenance"": {""layer"": ""intrastep-local"", ""loc"": ""loc(callsite( VerifyOpcodeF3 ( zirgen/circuit/rv32im/v2/dsl/inst.zir :97:18) at  OpXORI ( zirgen/circuit/rv32im/v2/dsl/i"", ""value"": 2013265917, ""verified"": false, ""reason"": ""non-scalar mutation""}}, {""layer"": ""intrastep-local"", ""full_loc"": ""MemoryWrite(zirgen/circuit/rv32im/v2/dsl/mem.zir:99)"", ""residue"": 512, ""cycle"": 14466, ""step"": 193, ""major"": 1, ""minor"": 0, ""provenance"": {""layer"": ""intrastep-local"", ""loc"": ""MemoryWrite(zirgen/circuit/rv32im/v2/dsl/mem.zir:99)"", ""value"": 512, ""verified"": false, ""reason"": ""non-scalar mutation""}}, {""layer"": ""global"", ""full_loc"": ""GLOBAL:family:memory residue nonzero"", ""residue"": null, ""cycle"": null, ""step"": null, ""major"": null, ""minor"": null, ""provenance"": null, ""family"": ""memory"", ""address"": null}]"
arguzz_INSTR_WORD_MOD_s17,arguzz,,INSTR_WORD_MOD,add,17,195,193,,0x5335a66f,control_flow,PROVE_ERROR,0,0,0,—,0,[]
arguzz_INSTR_WORD_MOD_s18,arguzz,,INSTR_WORD_MOD,add,18,195,193,,0x00c5a5b3,operation,CONSTRAINT_REJECT,1,0,0,1/0/0,1,"[{""layer"": ""intrastep-local"", ""full_loc"": ""loc(callsite( VerifyOpcodeF3F7 ( zirgen/circuit/rv32im/v2/dsl/inst.zir :103:18) at  OpSLT ( zirgen/circuit/rv32im/v2/dsl/inst_misc.zir :115:20)))"", ""residue"": 2013265919, ""cycle"": 14466, ""step"": 193, ""major"": 0, ""minor"": 5, ""provenance"": {""layer"": ""intrastep-local"", ""loc"": ""loc(callsite( VerifyOpcodeF3F7 ( zirgen/circuit/rv32im/v2/dsl/inst.zir :103:18) at  OpSLT ( zirgen/circuit/rv32im/v2/dsl"", ""value"": 2013265919, ""verified"": false, ""reason"": ""non-scalar mutation""}}]"
arguzz_INSTR_WORD_MOD_s19,arguzz,,INSTR_WORD_MOD,add,19,195,193,,0x00c5c5b3,operation,CONSTRAINT_REJECT,1,0,0,1/0/0,1,"[{""layer"": ""intrastep-local"", ""full_loc"": ""loc(callsite( VerifyOpcodeF3F7 ( zirgen/circuit/rv32im/v2/dsl/inst.zir :103:18) at  OpXOR ( zirgen/circuit/rv32im/v2/dsl/inst_misc.zir :100:20)))"", ""residue"": 2013265917, ""cycle"": 14466, ""step"": 193, ""major"": 0, ""minor"": 2, ""provenance"": {""layer"": ""intrastep-local"", ""loc"": ""loc(callsite( VerifyOpcodeF3F7 ( zirgen/circuit/rv32im/v2/dsl/inst.zir :103:18) at  OpXOR ( zirgen/circuit/rv32im/v2/dsl"", ""value"": 2013265917, ""verified"": false, ""reason"": ""non-scalar mutation""}}]"
arguzz_INSTR_WORD_MOD_s2,arguzz,,INSTR_WORD_MOD,add,2,195,193,,0x00c581b3,dest_reg,GLOBAL_REJECT,0,0,1,0/0/1,0,"[{""layer"": ""global"", ""full_loc"": ""GLOBAL:family:memory residue nonzero"", ""residue"": null, ""cycle"": null, ""step"": null, ""major"": null, ""minor"": null, ""provenance"": null, ""family"": ""memory"", ""address"": null}]"
arguzz_INSTR_WORD_MOD_s20,arguzz,,INSTR_WORD_MOD,add,20,195,193,,0x00c5c5b3,operation,CONSTRAINT_REJECT,1,0,0,1/0/0,1,"[{""layer"": ""intrastep-local"", ""full_loc"": ""loc(callsite( VerifyOpcodeF3F7 ( zirgen/circuit/rv32im/v2/dsl/inst.zir :103:18) at  OpXOR ( zirgen/circuit/rv32im/v2/dsl/inst_misc.zir :100:20)))"", ""residue"": 2013265917, ""cycle"": 14466, ""step"": 193, ""major"": 0, ""minor"": 2, ""provenance"": {""layer"": ""intrastep-local"", ""loc"": ""loc(callsite( VerifyOpcodeF3F7 ( zirgen/circuit/rv32im/v2/dsl/inst.zir :103:18) at  OpXOR ( zirgen/circuit/rv32im/v2/dsl"", ""value"": 2013265917, ""verified"": false, ""reason"": ""non-scalar mutation""}}]"
arguzz_INSTR_WORD_MOD_s21,arguzz,,INSTR_WORD_MOD,add,21,195,193,,0x00c58db3,dest_reg,GLOBAL_REJECT,0,0,1,0/0/1,0,"[{""layer"": ""global"", ""full_loc"": ""GLOBAL:family:memory residue nonzero"", ""residue"": null, ""cycle"": null, ""step"": null, ""major"": null, ""minor"": null, ""provenance"": null, ""family"": ""memory"", ""address"": null}]"
